params,mean_test_score,std_test_score
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 50}",0.8888586703658202,0.02626676343293701
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 100}",0.8857684323148124,0.0338246774458282
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 200}",0.8900387893051389,0.02829994851285146
"{'max_depth': 6, 'min_samples_leaf': 4, 'n_estimators': 50}",0.8957799527280746,0.023308043262718504
"{'max_depth': 6, 'min_samples_leaf': 4, 'n_estimators': 100}",0.8915274745906411,0.028023737596813352
"{'max_depth': 6, 'min_samples_leaf': 4, 'n_estimators': 200}",0.8907539434208509,0.027146164123054067
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 50}",0.8945525616289707,0.017451698063488393
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.8868034095946395,0.031621304724786324
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",0.893781897498911,0.028833527346779263
"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 50}",0.8970227186278917,0.020176801775595075
"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100}",0.8900338035079536,0.027693102953457553
"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 200}",0.8879460058844708,0.032741225809794675
"{'max_depth': 14, 'min_samples_leaf': 2, 'n_estimators': 50}",0.8918270083434834,0.016366893363102278
"{'max_depth': 14, 'min_samples_leaf': 2, 'n_estimators': 100}",0.8902540282029496,0.0348516479949078
"{'max_depth': 14, 'min_samples_leaf': 2, 'n_estimators': 200}",0.8894995959132477,0.034391860332412906
"{'max_depth': 14, 'min_samples_leaf': 4, 'n_estimators': 50}",0.8935594086176952,0.024130176834001805
"{'max_depth': 14, 'min_samples_leaf': 4, 'n_estimators': 100}",0.8935594086176952,0.024130176834001805
"{'max_depth': 14, 'min_samples_leaf': 4, 'n_estimators': 200}",0.888655225742627,0.03148817439808582
